source_file,line,link_text,target,issue_type,details,recommended_fix
docs/reports/analysis/live_demo_review_report.md,165,act3_lightweight_validation,../../../scripts/demo/live_demo_http_optimizations.py#218-234,ANCHOR_ON_NON_MARKDOWN,Anchor fragment used on non-markdown target.,Remove fragment or point to a markdown file with that anchor.
docs/reports/analysis/live_demo_review_report.md,249,"(resource_group_name, name)",../../../scripts/demo/live_demo_cascade_failure.py#46-56,ANCHOR_ON_NON_MARKDOWN,Anchor fragment used on non-markdown target.,Remove fragment or point to a markdown file with that anchor.
docs/reports/analysis/phase_1_5_test_findings.md,15,Category A — Unit Tests: Domain Layer,#3-category-a--unit-tests-domain-layer,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,16,Category B — Unit Tests: Adapter Layer,#4-category-b--unit-tests-adapter-layer,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,17,Category C — Unit Tests: API Layer,#5-category-c--unit-tests-api-layer,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,18,Category D — Unit Tests: Events Layer,#6-category-d--unit-tests-events-layer,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,19,Category E — E2E Pipeline Tests,#7-category-e--e2e-pipeline-tests,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,20,Category F — Integration Tests: OTel Backends,#8-category-f--integration-tests-otel-backends,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,21,Category G — Integration Tests: AWS Operators,#9-category-g--integration-tests-aws-operators,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,22,Category H — Live API Server Tests,#10-category-h--live-api-server-tests,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,23,Category I — CLI Validation Tests,#11-category-i--cli-validation-tests,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,24,Category L — Kubernetes Cluster Tests,#12-category-l--kubernetes-cluster-tests,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,29,Appendix A — Full Coverage Report,#appendix-a--full-coverage-report,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_1_5_test_findings.md,30,Appendix B — Environment Dependency Matrix,#appendix-b--environment-dependency-matrix,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_2_2_token_optimization_report.md,17,Metrics & Acceptance Criteria,#6-metrics--acceptance-criteria,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/analysis/phase_status_evaluation_report.md,63,phase-2-1-observability tasks.md,../../openspec/changes/phase-2-1-observability/tasks.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/phase_status_evaluation_report.md,64,autonomous-sre-agent specs/,../../openspec/changes/autonomous-sre-agent/specs/,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/phase_status_evaluation_report.md,132,tasks.md,../../openspec/changes/phase-2-1-observability/tasks.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/phase_status_evaluation_report.md,325,Phase 2.6 OpenSpec change,../../openspec/changes/phase-2-6-notification-integrations/tasks.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/phase_status_evaluation_report.md,335,Phase 2.5 OpenSpec change,../../openspec/changes/phase-2-5-slow-response-detection/tasks.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/analysis/phase_status_evaluation_report.md,361,Phase 2.7 OpenSpec change,../../openspec/changes/phase-2-7-operator-dashboard/tasks.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
docs/reports/archive/documentation_review.md,19,Broken Links & Invalid References,#7-broken-links--invalid-references,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/reports/archive/documentation_review.md,22,Structural & Organizational Issues,#10-structural--organizational-issues,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,15,Category A: Unit Tests — Domain Logic,#3-category-a-unit-tests--domain-logic,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,16,Category B: Unit Tests — API Layer,#4-category-b-unit-tests--api-layer,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,17,Category C: Unit Tests — Adapter Layer,#5-category-c-unit-tests--adapter-layer,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,18,Category D: Unit Tests — Configuration & Events,#6-category-d-unit-tests--configuration--events,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,19,Category E: Integration Tests — OTel Adapters,#7-category-e-integration-tests--otel-adapters,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,20,Category F: Integration Tests — AWS Operators,#8-category-f-integration-tests--aws-operators,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,21,Category G: E2E Tests — Phase 1.5 Pipeline,#9-category-g-e2e-tests--phase-15-pipeline,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,24,Category J: Negative & Boundary Tests,#12-category-j-negative--boundary-tests,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/live_validation_test_cases.md,25,Category K: Coverage & Quality Gates,#13-category-k-coverage--quality-gates,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/testing_strategy.md,15,Target State & Pyramid Alignment,#3-target-state--pyramid-alignment,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/testing_strategy.md,16,Testing Philosophy & Principles,#4-testing-philosophy--principles,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/testing_strategy.md,19,End-to-End & Chaos Testing Strategy,#7-end-to-end--chaos-testing-strategy,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/testing_strategy.md,20,Contract & API Testing Strategy,#8-contract--api-testing-strategy,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/testing_strategy.md,21,Performance & Soak Testing Strategy,#9-performance--soak-testing-strategy,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/testing_strategy.md,23,Test Infrastructure & Tooling,#11-test-infrastructure--tooling,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
docs/testing/testing_strategy.md,27,Flake Management & Test Health,#15-flake-management--test-health,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
master_system_document.md,14,Development & Configuration,#4-development--configuration,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
master_system_document.md,15,Infrastructure & Deployment,#5-infrastructure--deployment,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
master_system_document.md,16,Operations & Security,#6-operations--security,MISSING_ANCHOR,Anchor not found in source file.,Use an existing heading slug or add a matching heading.
openspec/changes/autonomous-sre-agent/specs/cloud-portability/spec.md,99,Phase 3.2 — GCP Cloud Support,../../phase-3-2-gcp-support/specs/gcp-operator/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
openspec/changes/autonomous-sre-agent/specs/notifications/spec.md,67,Phase 2.6 — Notification Integrations,../../phase-2-6-notification-integrations/specs/notification-delivery/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
openspec/changes/autonomous-sre-agent/specs/notifications/spec.md,68,Phase 3.3 — FinOps-Aware Remediation,../../phase-3-3-finops-remediation/specs/finops-enrichment/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
openspec/changes/autonomous-sre-agent/specs/provider-abstraction/spec.md,91,Phase 2.8 — Datadog Telemetry Adapter,../../phase-2-8-datadog-adapter/specs/datadog-adapter/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
openspec/changes/phase-2-6-notification-integrations/specs/notification-delivery/spec.md,5,notifications capability spec,../../autonomous-sre-agent/specs/notifications/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
openspec/changes/phase-2-7-operator-dashboard/specs/dashboard-mvp/spec.md,5,operator-dashboard capability spec,../../autonomous-sre-agent/specs/operator-dashboard/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
openspec/changes/phase-2-8-datadog-adapter/specs/datadog-adapter/spec.md,5,provider-abstraction capability spec,../../autonomous-sre-agent/specs/provider-abstraction/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
openspec/changes/phase-3-2-gcp-support/specs/gcp-operator/spec.md,5,cloud-portability capability spec,../../autonomous-sre-agent/specs/cloud-portability/spec.md,MISSING_PATH,Relative target path does not exist.,Update to the correct existing file or directory path.
